Orthogroup	Duplications (all)	Duplications (50% support)
OG0000527	5	5
OG0000528	12	12
OG0000529	10	10
OG0000530	10	10
OG0000531	14	14
OG0000532	15	15
OG0000533	18	18
OG0000534	18	18
OG0000535	18	18
OG0000536	18	18
OG0000537	15	14
OG0000538	9	9
OG0000539	13	9
OG0000540	17	17
OG0000541	13	13
OG0000542	15	15
OG0000543	15	15
OG0000544	15	15
OG0000545	9	8
OG0000546	10	10
OG0000547	9	9
OG0000548	13	13
OG0000549	14	14
OG0000550	8	8
OG0000551	14	14
OG0000552	14	14
OG0000553	12	12
OG0000554	12	12
OG0000555	12	11
OG0000556	11	11
OG0000557	14	14
OG0000558	16	16
OG0000559	9	9
OG0000560	13	13
OG0000561	13	13
OG0000562	8	8
OG0000563	10	10
OG0000564	12	12
OG0000565	15	14
OG0000566	13	13
OG0000567	10	10
OG0000568	9	9
OG0000569	11	11
OG0000570	15	15
OG0000571	14	14
OG0000572	17	17
OG0000573	11	11
OG0000574	14	14
OG0000575	13	13
OG0000576	11	11
OG0000577	11	11
OG0000578	15	15
OG0000579	15	15
OG0000580	8	8
OG0000581	10	9
OG0000582	15	15
OG0000583	8	7
OG0000584	11	10
OG0000585	12	12
OG0000586	10	10
OG0000587	12	12
OG0000588	12	12
OG0000589	12	12
OG0000590	12	12
OG0000591	9	9
OG0000592	11	11
OG0000593	10	10
OG0000594	17	17
OG0000595	17	17
OG0000596	17	17
OG0000597	16	16
OG0000598	17	17
OG0000599	17	17
OG0000600	17	17
OG0000601	17	17
OG0000602	16	16
OG0000603	13	13
OG0000604	11	11
OG0000605	10	9
OG0000606	10	10
OG0000607	15	15
OG0000608	12	12
OG0000609	15	15
OG0000610	14	14
OG0000611	8	6
OG0000612	13	13
OG0000613	7	7
OG0000614	8	7
OG0000615	12	12
OG0000616	4	4
OG0000617	4	3
OG0000618	4	4
OG0000619	7	7
OG0000620	5	5
OG0000621	8	5
OG0000622	11	11
OG0000623	5	5
OG0000624	9	9
OG0000625	8	8
OG0000626	10	10
OG0000627	6	6
OG0000628	11	11
OG0000629	11	11
OG0000630	12	12
OG0000631	13	13
OG0000632	9	9
OG0000633	11	11
OG0000634	8	8
OG0000635	10	9
OG0000636	11	8
OG0000637	13	12
OG0000638	12	12
OG0000639	8	8
OG0000640	9	9
OG0000641	13	13
OG0000642	13	13
OG0000643	9	9
OG0000644	13	13
OG0000645	9	8
OG0000646	8	8
OG0000647	13	13
OG0000648	11	10
OG0000649	8	8
OG0000650	9	8
OG0000651	10	10
OG0000652	14	14
OG0000653	11	7
OG0000654	10	10
OG0000655	12	12
OG0000656	13	13
OG0000657	16	16
OG0000658	16	16
OG0000659	16	16
OG0000660	16	16
OG0000661	16	16
OG0000662	15	15
OG0000663	12	12
OG0000664	16	16
OG0000665	16	16
OG0000666	16	16
OG0000667	13	13
OG0000668	15	15
OG0000669	13	13
OG0000670	14	14
OG0000671	6	6
OG0000672	15	15
OG0000673	7	7
OG0000674	12	12
OG0000675	15	15
OG0000676	12	12
OG0000677	14	14
OG0000678	11	11
OG0000679	9	9
OG0000680	4	4
OG0000681	8	8
OG0000682	6	5
OG0000683	9	9
OG0000684	15	15
OG0000685	12	12
OG0000686	15	15
OG0000687	15	15
OG0000688	6	6
OG0000689	12	12
OG0000690	11	11
OG0000691	6	5
OG0000692	5	5
OG0000693	11	11
OG0000694	9	9
OG0000695	5	5
OG0000696	10	10
OG0000697	9	9
OG0000698	7	5
OG0000699	9	9
OG0000700	11	11
OG0000701	10	10
OG0000702	10	10
OG0000703	8	8
OG0000704	12	12
OG0000705	13	13
OG0000706	7	7
OG0000707	8	8
OG0000708	9	8
OG0000709	11	11
OG0000710	9	9
OG0000711	7	5
OG0000712	10	10
OG0000713	10	10
OG0000714	5	5
OG0000715	11	9
OG0000716	11	11
OG0000717	11	10
OG0000718	12	12
OG0000719	12	12
OG0000720	6	6
OG0000721	13	13
OG0000722	9	9
OG0000723	13	13
OG0000724	10	10
OG0000725	12	12
OG0000726	9	9
OG0000727	12	12
OG0000728	15	15
OG0000729	12	12
OG0000730	7	6
OG0000731	11	11
OG0000732	14	14
OG0000733	13	13
OG0000734	7	7
OG0000735	11	9
OG0000736	12	12
OG0000737	13	13
OG0000738	8	8
OG0000739	10	10
OG0000740	14	14
OG0000741	12	12
OG0000742	9	9
OG0000743	14	14
OG0000744	12	12
OG0000745	14	14
OG0000746	15	15
OG0000747	15	15
OG0000748	15	15
OG0000749	13	13
OG0000750	15	15
OG0000751	15	15
OG0000752	15	15
OG0000753	14	14
OG0000754	15	15
OG0000755	12	12
OG0000756	12	12
OG0000757	14	14
OG0000758	14	14
OG0000759	13	13
OG0000760	12	12
OG0000761	14	14
OG0000762	10	10
OG0000763	10	10
OG0000764	14	14
OG0000765	14	14
OG0000766	7	6
OG0000767	13	13
OG0000768	9	9
OG0000769	4	4
OG0000770	8	8
OG0000771	12	12
OG0000772	12	12
OG0000773	8	8
OG0000774	11	11
OG0000775	5	5
OG0000776	7	7
OG0000777	11	11
OG0000778	5	5
OG0000779	5	5
OG0000780	9	7
OG0000781	5	5
OG0000782	5	5
OG0000783	5	5
OG0000784	11	11
OG0000785	10	10
OG0000786	14	14
OG0000787	10	10
OG0000788	12	12
OG0000789	7	7
OG0000790	8	7
OG0000791	5	5
OG0000792	11	11
OG0000793	8	8
OG0000794	5	5
OG0000795	7	7
OG0000796	7	7
OG0000797	11	11
OG0000798	7	7
OG0000799	10	10
OG0000800	6	6
OG0000801	12	12
OG0000802	4	4
OG0000803	11	11
OG0000804	8	8
OG0000805	5	5
OG0000806	7	7
OG0000807	7	6
OG0000808	8	8
OG0000809	8	8
OG0000810	8	7
OG0000811	5	5
OG0000812	8	8
OG0000813	13	13
OG0000814	7	5
OG0000815	10	10
OG0000816	11	11
OG0000817	10	10
OG0000818	8	8
OG0000819	8	8
OG0000820	12	12
OG0000821	8	8
OG0000822	11	11
OG0000823	11	11
OG0000824	10	10
OG0000825	6	6
OG0000826	10	8
OG0000827	6	6
OG0000828	6	5
OG0000829	6	5
OG0000830	8	8
OG0000831	12	12
OG0000832	6	6
OG0000833	9	8
OG0000834	10	10
OG0000835	10	10
OG0000836	11	11
OG0000837	10	10
OG0000838	8	7
OG0000839	8	6
OG0000840	11	11
OG0000841	7	7
OG0000842	7	7
OG0000843	11	11
OG0000844	13	13
OG0000845	11	11
OG0000846	8	8
OG0000847	10	10
OG0000848	11	11
OG0000849	8	8
OG0000850	11	11
OG0000851	9	9
OG0000852	11	11
OG0000853	9	9
OG0000854	11	11
OG0000855	10	10
OG0000856	9	9
OG0000857	14	14
OG0000858	13	13
OG0000859	14	14
OG0000860	14	14
OG0000861	14	14
OG0000862	14	14
OG0000863	14	14
OG0000864	13	13
OG0000865	12	12
OG0000866	14	14
OG0000867	9	9
OG0000868	14	14
OG0000869	10	10
OG0000870	13	13
OG0000871	13	13
OG0000872	14	14
OG0000873	10	10
OG0000874	10	10
OG0000875	12	12
OG0000876	6	6
OG0000877	10	10
OG0000878	12	12
OG0000879	10	10
OG0000880	9	9
OG0000881	9	9
OG0000882	9	9
OG0000883	12	12
OG0000884	10	10
OG0000885	6	6
OG0000886	9	9
OG0000887	5	5
OG0000888	9	9
OG0000889	13	13
OG0000890	11	11
OG0000891	10	10
OG0000892	3	3
OG0000893	7	7
OG0000894	10	10
OG0000895	10	10
OG0000896	10	10
OG0000897	6	5
OG0000898	11	11
OG0000899	10	10
OG0000900	5	5
OG0000901	3	3
OG0000902	6	6
OG0000903	8	8
OG0000904	7	7
OG0000905	10	10
OG0000906	8	8
OG0000907	8	8
OG0000908	6	6
OG0000909	5	5
OG0000910	9	9
OG0000911	4	4
OG0000912	8	8
OG0000913	7	7
OG0000914	7	6
OG0000915	7	7
OG0000916	7	7
OG0000917	8	8
OG0000918	9	9
OG0000919	8	8
OG0000920	10	10
OG0000921	7	7
OG0000922	6	6
OG0000923	9	9
OG0000924	4	4
OG0000925	4	4
OG0000926	10	10
OG0000927	8	8
OG0000928	10	10
OG0000929	11	11
OG0000930	8	8
OG0000931	6	6
OG0000932	4	4
OG0000933	7	7
OG0000934	8	8
OG0000935	9	9
OG0000936	10	10
OG0000937	10	10
OG0000938	9	9
OG0000939	8	7
OG0000940	6	6
OG0000941	10	10
OG0000942	8	8
OG0000943	6	6
OG0000944	8	7
OG0000945	4	4
OG0000946	12	12
OG0000947	8	7
OG0000948	10	10
OG0000949	5	5
OG0000950	9	9
OG0000951	9	9
OG0000952	8	8
OG0000953	8	8
OG0000954	11	11
OG0000955	8	6
OG0000956	12	12
OG0000957	11	11
OG0000958	6	6
OG0000959	10	10
OG0000960	10	10
OG0000961	9	9
OG0000962	10	10
OG0000963	7	7
OG0000964	8	8
OG0000965	8	8
OG0000966	9	9
OG0000967	8	8
OG0000968	10	10
OG0000969	6	6
OG0000970	10	10
OG0000971	10	10
OG0000972	9	8
OG0000973	5	5
OG0000974	9	9
OG0000975	10	10
OG0000976	9	9
OG0000977	10	10
OG0000978	6	5
OG0000979	4	4
OG0000980	10	10
OG0000981	10	10
OG0000982	10	10
OG0000983	6	6
OG0000984	7	7
OG0000985	10	10
OG0000986	8	8
OG0000987	12	12
OG0000988	13	13
OG0000989	11	11
OG0000990	13	13
OG0000991	13	13
OG0000992	13	13
OG0000993	13	13
OG0000994	7	7
OG0000995	13	13
OG0000996	13	13
OG0000997	13	13
OG0000998	9	8
OG0000999	9	8
OG0001000	6	5
OG0001001	12	12
OG0001002	9	9
OG0001003	8	8
OG0001004	12	12
OG0001005	10	10
OG0001006	8	8
OG0001007	9	9
OG0001008	9	9
OG0001009	11	11
OG0001010	11	11
OG0001011	12	12
OG0001012	9	9
OG0001013	10	10
OG0001014	5	5
OG0001015	11	11
OG0001016	9	9
OG0001017	12	12
OG0001018	10	10
OG0001019	9	9
OG0001020	3	3
OG0001021	3	3
OG0001022	3	2
OG0001023	6	6
OG0001024	7	7
OG0001025	9	9
OG0001026	3	3
OG0001027	5	5
OG0001028	8	8
OG0001029	5	5
OG0001030	8	8
OG0001031	7	7
OG0001032	11	11
OG0001033	4	4
OG0001034	11	11
OG0001035	11	11
OG0001036	6	6
OG0001037	12	12
OG0001038	8	8
OG0001039	9	9
OG0001040	9	9
OG0001041	7	7
OG0001042	4	4
OG0001043	7	7
OG0001044	6	6
OG0001045	6	6
OG0001046	6	6
OG0001047	10	10
OG0001048	7	7
OG0001049	8	8
OG0001050	4	4
OG0001051	6	6
OG0001052	6	6
OG0001053	9	9
OG0001054	7	3
OG0001055	4	4
OG0001056	3	3
OG0001057	5	5
OG0001058	10	10
OG0001059	6	5
OG0001060	6	6
OG0001061	6	6
OG0001062	5	4
OG0001063	9	9
OG0001064	9	9
OG0001065	4	4
OG0001066	9	9
OG0001067	3	3
OG0001068	7	7
OG0001069	9	9
OG0001070	8	8
OG0001071	8	8
OG0001072	11	11
OG0001073	7	7
OG0001074	6	6
OG0001075	11	11
OG0001076	5	2
